# Exact lifecycle registry for the runtime POM68K_* namespace.
# Format: knob<TAB>class<TAB>contract
# Classes/contracts: product gate:<configured gate>[,...]; diagnostic/test
# owner:<literal-bearing path>; chantier expiry:<document>#<topic>.
POM68K_JIT_BACKEND	product	gate:jit_backend_test
POM68K_JIT_BLOCKS	product	gate:jit_backend_test
POM68K_JIT_BLOCK_MAX	product	gate:jit_backend_test
POM68K_JIT_BSRW	product	gate:jit_backend_test
POM68K_JIT_DENY_FROM	diagnostic	owner:src/jit/JitEngine.cpp
POM68K_JIT_DENY_TO	diagnostic	owner:src/jit/JitEngine.cpp
POM68K_JIT_DISPATCH_RING	diagnostic	owner:src/jit/JitEngine.cpp
POM68K_JIT_DYNAMIC_BITFIELD	product	gate:jit_backend_test
POM68K_JIT_EDGE_CELLS	chantier	expiry:src/jit/POM68K_JIT.md#measured-edge-cell-prototype
POM68K_JIT_FETCH	product	gate:jit_backend_test
POM68K_JIT_HISTO	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_HOT	product	gate:jit_backend_test
POM68K_JIT_ICACHE_EMIT	chantier	expiry:docs/JIT_BRINGUP.md#68030-icache-attribution
POM68K_JIT_LINKS	product	gate:jit_backend_test
POM68K_JIT_LOCKSTEP_BUDGET	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_FINE_AT	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_FINE_BUDGET	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_FULL_RAM_AT	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_HIDDEN	test	owner:tests/jit_lockstep_test.cpp
POM68K_JIT_LOCKSTEP_IRQ_TRACE_FROM	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_N	test	owner:tests/jit_lockstep_test.cpp
POM68K_JIT_LOCKSTEP_PERIPH_DUMP	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_PERIPH_TRACE_AT	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_TRACE_AT	test	owner:tests/jit_lockstep_test.cpp
POM68K_JIT_LOCKSTEP_TRACE_FROM	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_LOCKSTEP_WRITE_TRACE_AT	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_MAX_BLOCKS	product	gate:jit_backend_test
POM68K_JIT_METRICS_FILE	diagnostic	owner:src/jit/JitMetrics.h
POM68K_JIT_MIN_NATIVE	product	gate:jit_backend_test
POM68K_JIT_PACKED_CCR	chantier	expiry:src/jit/POM68K_JIT.md#measured-packed-ccr-prototype
POM68K_JIT_PARANOID	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_PROFILE	product	gate:jit_backend_test
POM68K_JIT_PROFIT_SCORE	chantier	expiry:docs/JIT_BRINGUP.md#profitability-experiment
POM68K_JIT_REG_CACHE	chantier	expiry:src/jit/POM68K_JIT.md#measured-register-cache-prototype
POM68K_JIT_REQUIRE_NATIVE	diagnostic	owner:src/jit/JitEngine.cpp
POM68K_JIT_RESTART_BASE	product	gate:jit_backend_test,jit_restart_write_030_test
POM68K_JIT_RING_CLK	test	owner:tests/jit_lockstep_030_test.cpp
POM68K_JIT_UNSAFE_BACKEND	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_VERBOSE	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_VERBOSE_BLOCKS	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_WATCH_OPCODE	diagnostic	owner:src/jit/JitConfig.h
POM68K_JIT_WINDOW_KILL	diagnostic	owner:src/jit/JitConfig.h
POM68K_KEY_TRACE	diagnostic	owner:src/MachineHost.h
POM68K_LC3_PLUS	product	gate:lc3plus_boot_etalon
POM68K_LLE_AARCH64_CHECK_ONLY	product	gate:peripheral_lle_test
POM68K_LLE_AARCH64_FULL	product	gate:savestate_040_test
POM68K_LTOUDP	product	gate:ltoudp_test
POM68K_MACII_020	test	owner:tests/iix_boot_etalon.cpp
POM68K_MACII_EVENT	chantier	expiry:docs/LLE_VS_HLE.md#peripheral-event-deadline-default
POM68K_MACII_MODEL	product	gate:macii_boot_etalon,iix_boot_etalon
POM68K_MACIP_DEBUG	diagnostic	owner:src/MacIpGateway.cpp
POM68K_MMU040_WALK	diagnostic	owner:src/Cpu040.cpp
POM68K_MONITOR	product	gate:raster_equiv_test
POM68K_MX	test	owner:tests/lcii_beyond_etalon.cpp
POM68K_MY	test	owner:tests/lcii_beyond_etalon.cpp
POM68K_NOFPU	product	gate:fpu_sanity
POM68K_NO_CDBAY	product	gate:scsi_cdrom_test
POM68K_PERF_HOST_PROFILE	diagnostic	owner:src/jit/JitMetrics.h
POM68K_PERIPH_STATS	diagnostic	owner:src/Cpu040.cpp
POM68K_PGE_ADBTRACE	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_HSHAKE	diagnostic	owner:src/PgePmu.cpp
POM68K_PGE_PCCOUNT	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_PCHIST	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_PCWIN	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_SPIBYTES	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_SPINUS	chantier	expiry:docs/DUO_BRINGUP.md#host-stall-removal
POM68K_PGE_TBTRACE	diagnostic	owner:src/M68hc05Pge.h
POM68K_PGE_TRACE	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PGE_TRAP	diagnostic	owner:src/M68hc05Pge.cpp
POM68K_PROBE	test	owner:tests/iici_boot_etalon.cpp
POM68K_PROBE_DUMPADB	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_FRAMES	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_HOLD	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_IMG	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_MACHINE	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_RETURN_TOGGLE	test	owner:tests/adb_key_probe.cpp
POM68K_PROBE_WWATCH	test	owner:tests/adb_key_probe.cpp
POM68K_Q605_CACHE_BOOST	product	gate:q605_boot_etalon
POM68K_Q605_EVENT_SCC	product	gate:q605_event_scheduler_test
POM68K_Q605_EVENT_SCSI	product	gate:q605_event_scheduler_test
POM68K_Q605_ICACHE_MISS	product	gate:q605_boot_etalon
POM68K_Q605_ID	product	gate:lc475_boot_etalon,lc575_boot_etalon
POM68K_Q605_NOFPU	product	gate:q605_nofpu_boot_etalon,q605_barefpu_boot_etalon
POM68K_Q630_BAREFPU	product	gate:q630_boot_etalon
POM68K_Q630_CACHE_BOOST	product	gate:q630_boot_etalon
POM68K_Q630_ID	product	gate:q630_boot_etalon
POM68K_Q630_LC040	product	gate:q630_boot_etalon
POM68K_Q630_ROM	test	owner:tests/q630_boot_etalon.cpp
POM68K_Q700_BAREFPU	product	gate:q700_boot_etalon
POM68K_Q700_CACHE_BOOST	product	gate:q700_boot_etalon
POM68K_Q700_LC040	product	gate:q700_boot_etalon
POM68K_Q700_MODEL	product	gate:q700_boot_etalon,q900_boot_etalon,q950_boot_etalon
POM68K_Q900_IOPBRK	diagnostic	owner:src/Q700Memory.cpp
POM68K_Q900_IOPDUMP	test	owner:tests/q700_boot_etalon.cpp
POM68K_Q900_IOPWATCH	diagnostic	owner:src/Q700Memory.cpp
POM68K_Q900_IOP_TRACE	diagnostic	owner:src/Q700Memory.cpp
POM68K_SCSI_DDM_TEMPLATE	product	gate:scsi_hfs_facade_test
POM68K_SCSI_INQUIRY	product	gate:scsi_disk_test
POM68K_SCSI_LAT	diagnostic	owner:src/Q605Memory.cpp
POM68K_SCSI_TRACE	diagnostic	owner:src/ScsiDisk.cpp
POM68K_SENSE	test	owner:tests/iici_boot_etalon.cpp
POM68K_SE_VIA_TRACE	diagnostic	owner:src/MacMemory.cpp
POM68K_SHARE_DIR	product	gate:afp_server_test
POM68K_TRAIL	test	owner:tests/centris650_boot_etalon.cpp
POM68K_V8_HOLEVAL	chantier	expiry:docs/LCII_HARDWARE.md#unidentified-v8-io-hole
POM68K_V8_IOHOLE	chantier	expiry:docs/LCII_HARDWARE.md#unidentified-v8-io-hole
