Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
GuiSmokeScenario.h                             5                 5     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
GuiSpeedGauge.h                               16                16     0.00%           5                 5     0.00%          36                36     0.00%           8                 8     0.00%
GuiTobyStatus.h                               13                13     0.00%           1                 1     0.00%          14                14     0.00%           8                 8     0.00%
GuiWindowSession.h                            41                41     0.00%           6                 6     0.00%          60                60     0.00%          20                20     0.00%
IIfxCpu.cpp                                   30                30     0.00%           9                 9     0.00%          49                49     0.00%          20                20     0.00%
IIfxCpu.h                                      3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
IIfxMemory.cpp                               449               449     0.00%          40                40     0.00%         477               477     0.00%         332               332     0.00%
IIfxMemory.h                                  50                50     0.00%          38                38     0.00%          88                88     0.00%          10                10     0.00%
InputJournal.h                               124               124     0.00%          15                15     0.00%         125               125     0.00%          80                80     0.00%
Iwm.cpp                                      234               232     0.85%          14                13     7.14%         213               200     6.10%         210               208     0.95%
Iwm.h                                         20                12    40.00%           9                 5    44.44%          19                13    31.58%          10                 8    20.00%
LleSession.h                                  34                24    29.41%          27                23    14.81%         109                85    22.02%           8                 1    87.50%
LtoUdp.cpp                                    80                80     0.00%           4                 4     0.00%          70                70     0.00%          30                30     0.00%
LtoUdp.h                                       2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
M68hc05.cpp                                  275               268     2.55%          12                 9    25.00%         384               362     5.73%         304               302     0.66%
M68hc05.h                                     30                28     6.67%          24                22     8.33%          32                30     6.25%           4                 4     0.00%
M68hc05Pge.cpp                               555               555     0.00%          16                16     0.00%         703               703     0.00%         650               650     0.00%
M68hc05Pge.h                                  34                34     0.00%          34                34     0.00%          65                65     0.00%           0                 0         -
MacAudio.h                                    10                10     0.00%           1                 1     0.00%          14                14     0.00%           6                 6     0.00%
MacAudioHost.h                                94                94     0.00%          14                14     0.00%         105               105     0.00%          64                64     0.00%
MacFrame.h                                     7                 7     0.00%           4                 4     0.00%          20                20     0.00%           2                 2     0.00%
MacIIMemory.cpp                              653               653     0.00%          39                39     0.00%         613               613     0.00%         518               518     0.00%
MacIIMemory.h                                 66                66     0.00%          47                47     0.00%         112               112     0.00%          16                16     0.00%
MacInput.cpp                                  29                29     0.00%           2                 2     0.00%          32                32     0.00%          26                26     0.00%
MacInput.h                                    10                10     0.00%          10                10     0.00%          24                24     0.00%           0                 0         -
MacIpGateway.cpp                             482               482     0.00%          28                28     0.00%         508               508     0.00%         340               340     0.00%
MacIpGateway.h                                10                10     0.00%           9                 9     0.00%          13                13     0.00%           0                 0         -
MacMemory.cpp                                316               316     0.00%          21                21     0.00%         331               331     0.00%         300               300     0.00%
MacMemory.h                                   45                45     0.00%          42                42     0.00%          73                73     0.00%           2                 2     0.00%
MacVideo.h                                    28                28     0.00%           7                 7     0.00%          38                38     0.00%          14                14     0.00%
MachineCatalog.h                              10                 2    80.00%           2                 0   100.00%          10                 2    80.00%           8                 2    75.00%
MachineFactory.cpp                           160                67    58.13%          10                 6    40.00%         159                97    38.99%         128                59    53.91%
MachineHost.h                                194               194     0.00%          35                35     0.00%         365               365     0.00%         148               148     0.00%
MachineSession.cpp                            22                 9    59.09%           4                 2    50.00%          29                17    41.38%           6                 3    50.00%
MachineSession.h                               7                 5    28.57%           7                 5    28.57%           7                 5    28.57%           0                 0         -
MoiraCpu.h                                    26                26     0.00%          20                20     0.00%          61                61     0.00%           2                 2     0.00%
MoiraSnapshot.h                                3                 3     0.00%           1                 1     0.00%          27                27     0.00%           2                 2     0.00%
MscCpu.cpp                                    53                53     0.00%           8                 8     0.00%          57                57     0.00%          36                36     0.00%
MscCpu.h                                       3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
MscMemory.cpp                                466               466     0.00%          33                33     0.00%         502               502     0.00%         336               336     0.00%
MscMemory.h                                   41                41     0.00%          34                34     0.00%          79                79     0.00%           6                 6     0.00%
Ncr5380.cpp                                  271               271     0.00%          22                22     0.00%         256               256     0.00%         256               256     0.00%
Ncr5380.h                                     15                15     0.00%           3                 3     0.00%          16                16     0.00%          10                10     0.00%
Ncr53c96.cpp                                 374               121    67.65%          25                 1    96.00%         467               133    71.52%         378               149    60.58%
Ncr53c96.h                                    25                10    60.00%           7                 2    71.43%          31                19    38.71%          16                10    37.50%
NuBus.cpp                                     95                95     0.00%          15                15     0.00%          91                91     0.00%          70                70     0.00%
NuBus.h                                        5                 5     0.00%           4                 4     0.00%           6                 6     0.00%           2                 2     0.00%
PapServer.cpp                                175               175     0.00%          13                13     0.00%         256               256     0.00%         144               144     0.00%
PapServer.h                                    4                 4     0.00%           3                 3     0.00%           3                 3     0.00%           0                 0         -
PeripheralWindow.cpp                         129               129     0.00%          10                10     0.00%         194               194     0.00%         110               110     0.00%
PgePmu.cpp                                   242               242     0.00%          24                24     0.00%         430               430     0.00%         214               214     0.00%
PgePmu.h                                      16                16     0.00%          13                13     0.00%          36                36     0.00%           4                 4     0.00%
Pic1654s.cpp                                 142               127    10.56%           9                 7    22.22%         152               125    17.76%         162               154     4.94%
Pic1654s.h                                    10                10     0.00%           7                 7     0.00%          10                10     0.00%           2                 2     0.00%
PlatformCompact.cpp                          107               107     0.00%          12                12     0.00%         114               114     0.00%          76                76     0.00%
PlatformComposers.cpp                         15                15     0.00%           1                 1     0.00%          28                28     0.00%          26                26     0.00%
PlatformCompositionSupport.h                   2                 2     0.00%           2                 2     0.00%           7                 7     0.00%           0                 0         -
PlatformDafb.cpp                             358               358     0.00%          28                28     0.00%         394               394     0.00%         268               268     0.00%
PlatformDuo.cpp                               41                41     0.00%          10                10     0.00%          72                72     0.00%          26                26     0.00%
PlatformSonora.cpp                           118               118     0.00%          15                15     0.00%         186               186     0.00%          74                74     0.00%
PlatformToby.cpp                             170               170     0.00%          24                24     0.00%         220               220     0.00%         110               110     0.00%
PlatformV8.cpp                               130               130     0.00%          12                12     0.00%         127               127     0.00%          94                94     0.00%
ProcessEnvironment.cpp                         4                 0   100.00%           1                 0   100.00%           7                 0   100.00%           4                 0   100.00%
PseudoVia.cpp                                127               127     0.00%           8                 8     0.00%         124               124     0.00%         112               112     0.00%
PseudoVia.h                                    5                 5     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
Q605Memory.cpp                               552               552     0.00%          42                42     0.00%         671               671     0.00%         420               420     0.00%
Q605Memory.h                                  70                70     0.00%          63                63     0.00%         134               134     0.00%           6                 6     0.00%
Q630Cpu.cpp                                   45                45     0.00%          10                10     0.00%          71                71     0.00%          28                28     0.00%
Q630Cpu.h                                      3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
Q630Memory.cpp                               522               522     0.00%          38                38     0.00%         562               562     0.00%         398               398     0.00%
Q630Memory.h                                  69                69     0.00%          62                62     0.00%         133               133     0.00%           6                 6     0.00%
Q700Cpu.cpp                                   45                45     0.00%          10                10     0.00%          71                71     0.00%          28                28     0.00%
Q700Cpu.h                                      3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
Q700Memory.cpp                               760               521    31.45%          58                34    41.38%         895               569    36.42%         552               425    23.01%
Q700Memory.h                                  75                72     4.00%          66                63     4.55%         135               132     2.22%           8                 8     0.00%
R65c02.cpp                                   300                13    95.67%         118                 2    98.31%         763                30    96.07%         140                11    92.14%
R65c02.h                                      23                18    21.74%          23                18    21.74%          47                42    10.64%           0                 0         -
RbvCpu.cpp                                    65                65     0.00%           9                 9     0.00%          74                74     0.00%          46                46     0.00%
RbvCpu.h                                       4                 4     0.00%           3                 3     0.00%          10                10     0.00%           0                 0         -
RbvMemory.cpp                                441               441     0.00%          28                28     0.00%         479               479     0.00%         326               326     0.00%
RbvMemory.h                                   68                68     0.00%          61                61     0.00%         136               136     0.00%           6                 6     0.00%
RbvVideo.h                                    55                55     0.00%           9                 9     0.00%          96                96     0.00%          42                42     0.00%
Rtc.cpp                                      114               105     7.89%           7                 5    28.57%         113                88    22.12%          90                87     3.33%
Rtc.h                                          8                 4    50.00%           8                 4    50.00%          14                 7    50.00%           0                 0         -
RuntimeConfig.cpp                            108                15    86.11%          12                 0   100.00%         167                17    89.82%          88                25    71.59%
RuntimeConfig.h                               14                 2    85.71%          14                 2    85.71%          22                 2    90.91%           0                 0         -
RuntimeConfigCore.cpp                         66                31    53.03%           3                 1    66.67%         151                35    76.82%          60                32    46.67%
RuntimeConfigMachine.cpp                      79                 7    91.14%           3                 0   100.00%          89                 8    91.01%          92                13    85.87%
RuntimeConfigProduct.cpp                       8                 2    75.00%           1                 0   100.00%          37                 1    97.30%           6                 2    66.67%
SaveState.cpp                                 81                81     0.00%           8                 8     0.00%          93                93     0.00%          56                56     0.00%
SaveState.h                                   40                40     0.00%          19                19     0.00%          46                46     0.00%           8                 8     0.00%
SaveStateMachines.cpp                         69                69     0.00%           5                 5     0.00%         107               107     0.00%          48                48     0.00%
SaveStateSlot.h                               58                58     0.00%           7                 7     0.00%          98                98     0.00%          34                34     0.00%
Scc8530.cpp                                  703               693     1.42%          25                21    16.00%         605               584     3.47%         628               625     0.48%
Scc8530.h                                     35                32     8.57%          23                20    13.04%          37                34     8.11%          12                12     0.00%
ScsiDisk.cpp                                 738               638    13.55%          28                20    28.57%         872               752    13.76%         638               553    13.32%
ScsiDisk.h                                    31                24    22.58%          12                 9    25.00%          33                23    30.30%          14                12    14.29%
ScsiTarget.h                                   2                 1    50.00%           2                 1    50.00%           4                 3    25.00%           0                 0         -
Se30Video.h                                   14                14     0.00%          14                14     0.00%          55                55     0.00%           0                 0         -
SonoraCpu.cpp                                 50                50     0.00%           8                 8     0.00%          55                55     0.00%          34                34     0.00%
SonoraCpu.h                                    3                 3     0.00%           3                 3     0.00%           6                 6     0.00%           0                 0         -
SonoraMemory.cpp                             490               490     0.00%          27                27     0.00%         504               504     0.00%         392               392     0.00%
SonoraMemory.h                                75                75     0.00%          62                62     0.00%         141               141     0.00%          10                10     0.00%
SonoraVideo.h                                 62                62     0.00%           8                 8     0.00%          99                99     0.00%          52                52     0.00%
SonyDrive.cpp                                852               849     0.35%          60                59     1.67%         887               876     1.24%         726               724     0.28%
SonyDrive.h                                   27                19    29.63%          22                18    18.18%          37                31    16.22%           4                 2    50.00%
StartupDomainView.h                           15                 0   100.00%           8                 0   100.00%          24                 0   100.00%           4                 0   100.00%
StartupOptions.h                               2                 1    50.00%           2                 1    50.00%           6                 3    50.00%           0                 0         -
StartupSnapshot.h                             26                 1    96.15%          14                 1    92.86%          46                 1    97.83%          10                 0   100.00%
StartupValueDecoding.h                        46                 9    80.43%           5                 0   100.00%          45                18    60.00%          26                 8    69.23%
StartupValuePolicy.h                           4                 4     0.00%           4                 4     0.00%          20                20     0.00%           0                 0         -
Swim1.cpp                                    439               426     2.96%          25                23     8.00%         544               503     7.54%         386               378     2.07%
Swim1.h                                       16                15     6.25%          10                 9    10.00%          26                25     3.85%           4                 4     0.00%
Swim2.cpp                                    308               308     0.00%          20                20     0.00%         345               345     0.00%         268               268     0.00%
Swim2.h                                       15                15     0.00%           9                 9     0.00%          21                21     0.00%           4                 4     0.00%
TobyVideo.cpp                                200               200     0.00%          18                18     0.00%         249               249     0.00%         148               148     0.00%
TobyVideo.h                                   14                14     0.00%          14                14     0.00%          21                21     0.00%           0                 0         -
V8Memory.cpp                                 719               719     0.00%          46                46     0.00%         658               658     0.00%         526               526     0.00%
V8Memory.h                                   117               117     0.00%          73                73     0.00%         184               184     0.00%          36                36     0.00%
V8Video.h                                     85                85     0.00%           8                 8     0.00%         115               115     0.00%          64                64     0.00%
Valkyrie.cpp                                 106               106     0.00%          11                11     0.00%         156               156     0.00%         118               118     0.00%
Valkyrie.h                                    16                16     0.00%          16                16     0.00%          27                27     0.00%           0                 0         -
VaspCpu.cpp                                   65                65     0.00%           9                 9     0.00%          74                74     0.00%          46                46     0.00%
VaspCpu.h                                      4                 4     0.00%           3                 3     0.00%          10                10     0.00%           0                 0         -
VaspMemory.cpp                               391               391     0.00%          24                24     0.00%         397               397     0.00%         284               284     0.00%
VaspMemory.h                                  66                66     0.00%          59                59     0.00%         134               134     0.00%           6                 6     0.00%
VaspVideo.h                                   67                67     0.00%           8                 8     0.00%          92                92     0.00%          52                52     0.00%
Via6522.cpp                                  137               133     2.92%           8                 6    25.00%         146               133     8.90%         158               157     0.63%
Via6522.h                                     51                45    11.76%          32                29     9.38%          69                63     8.70%          18                17     5.56%
ViaEClock.h                                    5                 5     0.00%           5                 5     0.00%          20                20     0.00%           0                 0         -
VideoBeam.h                                   18                18     0.00%           9                 9     0.00%          54                54     0.00%           8                 8     0.00%
jit/JitBackend.cpp                            53                53     0.00%           5                 5     0.00%          63                63     0.00%          40                40     0.00%
jit/JitBackend.h                               5                 5     0.00%           5                 5     0.00%           5                 5     0.00%           0                 0         -
jit/JitBlockCache.cpp                        125               125     0.00%           5                 5     0.00%         117               117     0.00%          98                98     0.00%
jit/JitCodeBuffer.cpp                         84                84     0.00%          12                12     0.00%         116               116     0.00%          42                42     0.00%
jit/JitCodeBuffer.h                            7                 7     0.00%           7                 7     0.00%           7                 7     0.00%           0                 0         -
jit/JitConfig.h                              161               138    14.29%          46                40    13.04%         248               156    37.10%          90                77    14.44%
jit/JitCost.h                                 62                62     0.00%           8                 8     0.00%          46                46     0.00%          50                50     0.00%
jit/JitDispatchCache.h                        21                21     0.00%          10                10     0.00%          27                27     0.00%           8                 8     0.00%
jit/JitEaPlan.h                               22                22     0.00%           3                 3     0.00%          37                37     0.00%          16                16     0.00%
jit/JitEngine.cpp                            809               809     0.00%          28                28     0.00%        1102              1102     0.00%         664               664     0.00%
jit/JitEngine.h                               40                40     0.00%          22                22     0.00%          89                89     0.00%          18                18     0.00%
jit/JitEngineCensus.cpp                       31                31     0.00%           3                 3     0.00%          58                58     0.00%          24                24     0.00%
jit/JitGuard.h                                44                44     0.00%           7                 7     0.00%          32                32     0.00%          36                36     0.00%
jit/JitIr.h                                 1594              1594     0.00%          68                68     0.00%        1423              1423     0.00%        1408              1408     0.00%
jit/JitMetrics.h                              20                20     0.00%           4                 4     0.00%          51                51     0.00%          10                10     0.00%
jit/JitRuntime.cpp                             4                 4     0.00%           1                 1     0.00%           4                 4     0.00%           2                 2     0.00%
jit/JitShiftVersions.cpp                      72                72     0.00%          10                10     0.00%          91                91     0.00%          48                48     0.00%
jit/JitShiftVersions.h                         7                 7     0.00%           7                 7     0.00%          17                17     0.00%           0                 0         -
jit/JitStats.h                                33                33     0.00%          12                12     0.00%         117               117     0.00%          22                22     0.00%
jit/backends/JitBackendA64.cpp              3422              3422     0.00%         181               181     0.00%        4082              4082     0.00%        2908              2908     0.00%
jit/backends/JitBackendA64Jsr040.inl           6                 6     0.00%           1                 1     0.00%          26                26     0.00%           4                 4     0.00%
jit/backends/JitBackendThreaded.cpp           26                26     0.00%           9                 9     0.00%          40                40     0.00%          12                12     0.00%
jit/backends/JitBackendX64.cpp              3034              3034     0.00%         131               131     0.00%        3907              3907     0.00%        2584              2584     0.00%
jit/backends/JitBackendX64Jsr040.inl           4                 4     0.00%           1                 1     0.00%          17                17     0.00%           2                 2     0.00%
jit/backends/X64Asm.h                        107               107     0.00%          76                76     0.00%         278               278     0.00%          28                28     0.00%
third_party/miniaudio.h                    36239             36239     0.00%        2335              2335     0.00%       39681             39681     0.00%       17450             17450     0.00%
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                      70243             68425     2.59%        6143              5755     6.32%       82960             79765     3.85%       44272             43043     2.78%
