jit/JitCodeBuffer.cpp	99.14
jit/JitCodeBuffer.h	14.29
jit/JitConfig.h	59.68
jit/JitCost.h	63.04
jit/JitDispatchCache.h	85.19
jit/JitEaPlan.h	89.19
jit/JitEngine.cpp	54.17
jit/JitEngine.h	49.44
jit/JitEngineCensus.cpp	3.45
jit/JitGuard.h	100.00
jit/JitIr.h	95.99
jit/JitRuntime.cpp	0.00
jit/JitShiftVersions.cpp	53.85
jit/JitShiftVersions.h	82.35
jit/JitStats.h	7.69
jit/backends/JitBackendA64.cpp	81.41
jit/backends/JitBackendThreaded.cpp	37.50
third_party/miniaudio.h	0.00
