Filename                                 Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
GuiSmokeScenario.h                             5                 5     0.00%           4                 4     0.00%           4                 4     0.00%           0                 0         -
GuiSpeedGauge.h                               33                33     0.00%           5                 5     0.00%          37                37     0.00%          18                18     0.00%
GuiTobyStatus.h                               13                13     0.00%           1                 1     0.00%          14                14     0.00%           8                 8     0.00%
GuiWindowSession.h                            41                41     0.00%           6                 6     0.00%          60                60     0.00%          20                20     0.00%
IIfxCpu.cpp                                   30                 3    90.00%           9                 0   100.00%          49                 0   100.00%          20                 3    85.00%
IIfxCpu.h                                      3                 2    33.33%           3                 2    33.33%           6                 5    16.67%           0                 0         -
IIfxMemory.cpp                               449               114    74.61%          40                 2    95.00%         477                69    85.53%         332               135    59.34%
IIfxMemory.h                                  54                42    22.22%          38                32    15.79%          81                71    12.35%          14                11    21.43%
InputJournal.h                                44                44     0.00%          14                14     0.00%         121               121     0.00%          22                22     0.00%
Iwm.cpp                                      234                31    86.75%          14                 1    92.86%         213                24    88.73%         210                44    79.05%
Iwm.h                                         20                 2    90.00%           9                 1    88.89%          19                 9    52.63%          10                 2    80.00%
LleSession.h                                  34                29    14.71%          27                25     7.41%         109                96    11.93%           8                 5    37.50%
LtoUdp.cpp                                    80                80     0.00%           4                 4     0.00%          70                70     0.00%          30                30     0.00%
LtoUdp.h                                       2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
M68hc05.cpp                                  275                49    82.18%          12                 1    91.67%         384                65    83.07%         304                62    79.61%
M68hc05.h                                     30                14    53.33%          24                14    41.67%          32                20    37.50%           4                 0   100.00%
M68hc05Pge.cpp                               555               154    72.25%          16                 1    93.75%         703               158    77.52%         650               169    74.00%
M68hc05Pge.h                                  43                22    48.84%          34                21    38.24%          65                40    38.46%           8                 2    75.00%
MacAudio.h                                    10                10     0.00%           1                 1     0.00%          14                14     0.00%           6                 6     0.00%
MacAudioHost.h                                94                94     0.00%          14                14     0.00%         105               105     0.00%          64                64     0.00%
MacFrame.h                                     7                 0   100.00%           4                 0   100.00%          20                 0   100.00%           2                 0   100.00%
MacIIMemory.cpp                              653               256    60.80%          39                11    71.79%         613               204    66.72%         518               277    46.53%
MacIIMemory.h                                 70                57    18.57%          47                40    14.89%         101                90    10.89%          20                17    15.00%
MacInput.cpp                                  29                21    27.59%           2                 0   100.00%          32                18    43.75%          26                17    34.62%
MacInput.h                                    10                 6    40.00%          10                 6    40.00%          24                15    37.50%           0                 0         -
MacIpGateway.cpp                             482               482     0.00%          28                28     0.00%         508               508     0.00%         340               340     0.00%
