SCSI disk: hdv/MacOS-8.1-boot.vhd attached
PRAM: q605_trace.pram loaded
  CUDA <- $01  (clk=132337 pc=$408B3B2C)
  CUDA <- $07  (clk=132689 pc=$408B3BC6)
  CUDA <- $00  (clk=133041 pc=$408B3BC6)
  CUDA <- $79  (clk=133393 pc=$408B3BC6)
  CUDA <- $79  (clk=133777 pc=$408B3B74)
  CUDA -> $01  (clk=134185 pc=$408B3BDE)
  CUDA -> $00  (clk=134496 pc=$408B3BDE)
  CUDA -> $00  (clk=134816 pc=$408B3BDE)
  CUDA <- $01  (clk=135665 pc=$408B3B2C)
  CUDA <- $07  (clk=136017 pc=$408B3BC6)
  CUDA <- $00  (clk=136369 pc=$408B3BC6)
  CUDA <- $7A  (clk=136721 pc=$408B3BC6)
  CUDA <- $7A  (clk=137105 pc=$408B3B74)
  CUDA -> $01  (clk=137513 pc=$408B3BDE)
  CUDA -> $00  (clk=137824 pc=$408B3BDE)
  CUDA -> $00  (clk=138144 pc=$408B3BDE)
  CUDA <- $01  (clk=138993 pc=$408B3B2C)
  CUDA <- $07  (clk=139345 pc=$408B3BC6)
  CUDA <- $00  (clk=139697 pc=$408B3BC6)
  CUDA <- $7B  (clk=140049 pc=$408B3BC6)
  CUDA <- $7B  (clk=140433 pc=$408B3B74)
  CUDA -> $01  (clk=140841 pc=$408B3BDE)
  CUDA -> $00  (clk=141152 pc=$408B3BDE)
  CUDA -> $00  (clk=141472 pc=$408B3BDE)
  CUDA <- $01  (clk=143665 pc=$408AA0CE)
  CUDA <- $22  (clk=144305 pc=$408AA172)
  CUDA <- $DE  (clk=144913 pc=$408AA172)
  CUDA <- $0C  (clk=145521 pc=$408AA172)
  CUDA <- $47  (clk=146129 pc=$408AA172)
  CUDA -> $01  (clk=147077 pc=$408AA18A)
  CUDA -> $00  (clk=147424 pc=$408AA18A)
  CUDA -> $00  (clk=147776 pc=$408AA18A)
  CUDA <- $01  (clk=154513 pc=$408AA0CE)
  CUDA <- $22  (clk=155153 pc=$408AA172)
  CUDA <- $DE  (clk=155761 pc=$408AA172)
  CUDA <- $0F  (clk=156369 pc=$408AA172)
  CUDA <- $41  (clk=156977 pc=$408AA172)
  CUDA -> $01  (clk=157925 pc=$408AA18A)
  CUDA -> $00  (clk=158272 pc=$408AA18A)
  CUDA -> $00  (clk=158624 pc=$408AA18A)
  CUDA -> $01  (clk=15567229 pc=$40807116)

[q605_trace] after 200000000 cycles: pc=$408479B0 sp=$00007FFC sr=$2708 halted=0 stopped=0
-- vector histogram --
-- IRQ (willInterrupt) by level --
-- PC coverage (64 KB regions, top 24) --
  $40840000: 22215527
  $40800000: 1206699
  $408A0000: 8275
  $408B0000: 1835
  $40880000: 394
  $00000000: 242
-- VRAM all zero --
