ASSET rom    "roms/512KB ROMs/1992-03 - 35C28F5F - Mac LC II.ROM" 524288 B sha256 18c3de07ca15cf66dfbaa5984aca34b48a2d7b4d0d8c7656f79533899ccec0a0
  [speedo] frames=3360   shape=0.086/0.068/0.104
  [speedo] frames=3390   shape=0.086/0.068/0.104
  [speedo] frames=3420   shape=0.086/0.068/0.104
  [speedo] frames=3450   shape=0.086/0.068/0.104
  [speedo] frames=3480   shape=0.086/0.068/0.104
  [speedo] frames=3510   shape=0.086/0.068/0.104
  [speedo] frames=3540   shape=0.086/0.068/0.104
  [speedo] frames=3570   shape=0.086/0.068/0.104
  [speedo] frames=3600   shape=0.086/0.068/0.104
  [speedo] frames=3630   shape=0.086/0.068/0.104
  [speedo] frames=3660   shape=0.086/0.068/0.104
  [speedo] frames=3690   shape=0.086/0.068/0.104
  [speedo] frames=3720   shape=0.086/0.068/0.104
  [speedo] frames=3750   shape=0.086/0.068/0.104
  [speedo] frames=3780   shape=0.086/0.068/0.104
  [speedo] frames=3810   shape=0.086/0.068/0.104
  [speedo] frames=3840   shape=0.086/0.068/0.104
  [speedo] frames=3870   shape=0.086/0.068/0.104
  [speedo] frames=3900   shape=0.086/0.068/0.104
  [speedo] frames=3930   shape=0.086/0.068/0.104
  [speedo] frames=3960   shape=0.086/0.068/0.104
  [speedo] frames=3990   shape=0.086/0.068/0.104
  [speedo] frames=4020   shape=0.086/0.068/0.104
  [speedo] frames=4050   shape=0.086/0.068/0.104
  [speedo] frames=4080   shape=0.086/0.068/0.104
  [speedo] frames=4110   shape=0.086/0.068/0.104
  [speedo] frames=4140   shape=0.086/0.068/0.104
  [speedo] frames=4170   shape=0.086/0.068/0.104
  [speedo] frames=4200   shape=0.086/0.068/0.104
  [speedo] frames=4230   shape=0.086/0.068/0.104
  [speedo] frames=4260   shape=0.086/0.068/0.104
  [speedo] frames=4290   shape=0.086/0.068/0.104
  [speedo] frames=4320   shape=0.086/0.068/0.104
  [speedo] frames=4350   shape=0.086/0.068/0.104
  [speedo] frames=4380   shape=0.086/0.068/0.104
  [speedo] frames=4410   shape=0.086/0.068/0.104
  [speedo] frames=4440   shape=0.086/0.068/0.104
  [speedo] frames=4470   shape=0.086/0.068/0.104
  [speedo] frames=4500   shape=0.086/0.068/0.104
  [speedo] frames=4530   shape=0.086/0.068/0.104
  [speedo] frames=4560   shape=0.086/0.068/0.104
  [speedo] frames=4590   shape=0.086/0.068/0.104
  [speedo] frames=4620   shape=0.086/0.068/0.104
  [speedo] frames=4650   shape=0.086/0.068/0.104
  [speedo] frames=4680   shape=0.086/0.068/0.104
  [speedo] frames=4710   shape=0.086/0.068/0.104
  [speedo] frames=4740   shape=0.086/0.068/0.104
  [speedo] frames=4770   shape=0.086/0.068/0.104
  [speedo] frames=4800   shape=0.086/0.068/0.104
  [speedo] frames=4830   shape=0.086/0.068/0.104
  [speedo] frames=4860   shape=0.086/0.068/0.104
  [speedo] frames=4890   shape=0.086/0.068/0.104
  [speedo] frames=4920   shape=0.086/0.068/0.104
  [speedo] frames=4950   shape=0.086/0.068/0.104
  [speedo] frames=4980   shape=0.086/0.068/0.104
  [speedo] frames=5010FAIL: Speedometer CPU result never appeared
   shape=0.086/0.068/0.104
  [speedo] frames=5040   shape=0.086/0.068/0.104
  [speedo] frames=5070   shape=0.086/0.068/0.104
  [speedo] frames=5100   shape=0.086/0.068/0.104
  [speedo] frames=5130   shape=0.086/0.068/0.104
  [speedo] frames=5160   shape=0.086/0.068/0.104
  [speedo] frames=5190   shape=0.086/0.068/0.104
  [speedo] frames=5220   shape=0.086/0.068/0.104
  [speedo] frames=5250   shape=0.086/0.068/0.104
  [speedo] frames=5280   shape=0.086/0.068/0.104
  [speedo] frames=5310   shape=0.086/0.068/0.104
  [speedo] frames=5340   shape=0.086/0.068/0.104
  [speedo] frames=5370   shape=0.086/0.068/0.104
  [speedo] frames=5400   shape=0.086/0.068/0.104
  [speedo] frames=5430   shape=0.086/0.068/0.104
  [speedo] frames=5460   shape=0.086/0.068/0.104
  [speedo] frames=5490   shape=0.086/0.068/0.104
  [speedo] frames=5520   shape=0.086/0.068/0.104
  [speedo] frames=5550   shape=0.086/0.068/0.104
  [speedo] frames=5580   shape=0.086/0.068/0.104
  [speedo] frames=5610   shape=0.086/0.068/0.104
  [speedo] frames=5640   shape=0.086/0.068/0.104
  [speedo] frames=5670   shape=0.086/0.068/0.104
  [speedo] frames=5700   shape=0.086/0.068/0.104
  [speedo] frames=5730   shape=0.086/0.068/0.104
  [speedo] frames=5760   shape=0.086/0.068/0.104
  [speedo] frames=5790   shape=0.086/0.068/0.104
  [speedo] frames=5820   shape=0.086/0.068/0.104
  [speedo] frames=5850   shape=0.086/0.068/0.104
  [speedo] frames=5880   shape=0.086/0.068/0.104
  [speedo] frames=5910   shape=0.086/0.068/0.104
  [speedo] frames=5940   shape=0.086/0.068/0.104
  [speedo] frames=5970   shape=0.086/0.068/0.104
  [speedo] frames=6000   shape=0.086/0.068/0.104
cpu-test: done=0 frames=6000 wall=31.203687s shape=0.086/0.068/0.104 fp=7c77c60bc1923adf screen=4233ab994e8eb071
