sniffing 239.192.76.84:1954 for 60s
23:25:44 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:44 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:45 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:45 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:45 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:46 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:46 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:46 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:47 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:47 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:47 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:48 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:48 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:48 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:49 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:49 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:49 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:50 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:50 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:50 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:51 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:51 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:51 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:52 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:52 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:52 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:53 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:53 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:53 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:54 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:54 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:54 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:55 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:55 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:55 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:56 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:56 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:56 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:57 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:57 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
23:25:57 tag=0000485A 254->25 [2.125->1.25] NBP sock 2->254 LkUp-Reply x1 | POM68K:AFPServer@* at 2.125:128
23:25:58 tag=43D4D32C 25->254 [local] NBP sock 254->2 BrRq x1 | =:AFPServer@* at 1.25:254
23:25:58 tag=0000485A 254->255 [local] NBP sock 2->2 LkUp x1 | =:AFPServer@* at 1.25:254
